year,leaid,district,state_name,stabbr,ppcstot,predcost,fundinggap,outcomegap,enroll,pov,iep,ell,amind,asian,black,hisp,multi,pac,white
2009,400450,"AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289)",Arizona,AZ,7315.00,8747.00,-1432.00,NULL,6267,0.14148010,0.08265520,0.02393490,0.01568250,0.04928790,0.11233800,0.42342780,NULL,NULL,0.39926390
2010,400450,"AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289)",Arizona,AZ,7613.00,8218.00,-605.00,NULL,6509,0.13131710,0.06452600,0.01136890,0.01433190,0.04869780,0.11820000,0.42918790,NULL,NULL,0.38958240
2011,400450,"AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289)",Arizona,AZ,7404.00,9462.00,-2058.00,NULL,6742,0.15169710,0.08276480,0.00519130,0.01292910,0.04800120,0.11130930,0.42576910,0.00445830,0.00089170,0.39664140
2012,400450,"AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289)",Arizona,AZ,7417.00,9570.00,-2153.00,NULL,6832,0.14696400,0.08562650,0.00805040,0.01101650,0.04582840,0.10252640,0.43537010,0.01424790,0.00235020,0.38866040
2013,400450,"AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289)",Arizona,AZ,6883.00,10271.00,-3388.00,NULL,6933,0.14676200,0.09534110,0.00836580,0.00968770,0.04091960,0.10107000,0.44346440,0.02241180,0.00260270,0.37984380
2014,400450,"AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289)",Arizona,AZ,7062.00,10591.00,-3529.00,NULL,7244,0.13882560,0.10049700,0.00911100,0.01038210,0.03751380,0.10008310,0.44892030,0.02851610,0.00415280,0.37043190
2015,400450,"AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289)",Arizona,AZ,6839.00,10785.00,-3946.00,NULL,7542,0.13534870,0.10196230,0.00742510,0.00982870,0.03519720,0.10067740,0.45384510,0.03333780,0.00464870,0.36246510
2016,400450,"AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289)",Arizona,AZ,7266.00,10702.00,-3436.00,NULL,7629,0.12489030,0.09961990,0.00734040,0.00840230,0.03321520,0.09872650,0.46041750,0.03347770,0.00446370,0.36129710
2017,400450,"AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289)",Arizona,AZ,7139.00,10558.00,-3419.00,NULL,7788,0.10793330,0.10349260,0.00680530,0.00875270,0.03462480,0.10490410,0.46093450,0.03346630,0.00437640,0.35294120
2018,400450,"AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289)",Arizona,AZ,7464.00,10410.00,-2946.00,NULL,7780,0.10047960,0.10437020,0.01658100,0.00721090,0.03167650,0.10249810,0.47553440,0.03476690,0.00515070,0.34316250
2019,400450,"AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289)",Arizona,AZ,8647.00,11021.00,-2374.00,NULL,7979,0.09995100,0.10815890,0.02193260,0.00753390,0.03088900,0.09718730,0.48091410,0.03704170,0.00552490,0.34090910
2020,400450,"AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289)",Arizona,AZ,8449.00,11190.00,-2741.00,NULL,8359,0.10160040,0.10934320,0.01973920,0.00251590,0.01665270,0.09332690,0.49203310,0.05990180,0.00443270,0.33113690
2021,400450,"AGUA FRIA UNION HIGH SCHOOL DISTRICT (4289)",Arizona,AZ,9415.00,11446.00,-2031.00,NULL,8403,0.09274840,0.10912770,0.02094490,0.00737830,0.03320240,0.09651320,0.49208620,0.03117930,0.00547420,0.33416640
2009,400480,"AGUILA ELEMENTARY DISTRICT (4249)",Arizona,AZ,11400.00,27724.00,-16324.00,-0.92616620,240,0.29656860,0.10000000,0.47500000,0.00000000,0.00574710,0.01724140,0.91379310,NULL,NULL,0.06321840
2010,400480,"AGUILA ELEMENTARY DISTRICT (4249)",Arizona,AZ,8261.00,19192.00,-10931.00,-0.39662219,226,0.29500000,0.09734510,0.26991150,0.00000000,0.00000000,0.02597400,0.90909090,NULL,NULL,0.06493510
2011,400480,"AGUILA ELEMENTARY DISTRICT (4249)",Arizona,AZ,7755.00,17474.00,-9719.00,-0.30642953,216,0.30348260,0.09259260,0.18981480,0.00000000,0.00000000,0.01935480,0.91612910,0.00645160,0.00000000,0.05806450
2012,400480,"AGUILA ELEMENTARY DISTRICT (4249)",Arizona,AZ,7530.00,17088.00,-9558.00,-0.27409014,219,0.24630540,0.09589040,0.22831050,0.00000000,0.00000000,0.02631580,0.93421050,0.00000000,0.00000000,0.03947370
2013,400480,"AGUILA ELEMENTARY DISTRICT (4249)",Arizona,AZ,6593.00,18827.00,-12234.00,-0.19891065,216,0.24878050,0.08333330,0.26851850,0.00000000,0.00000000,0.03164560,0.91772150,0.00000000,0.00000000,0.05063290
2014,400480,"AGUILA ELEMENTARY DISTRICT (4249)",Arizona,AZ,10096.00,26684.00,-16588.00,NULL,219,0.41545890,0.07762560,0.25114150,0.00632910,0.00000000,0.01898730,0.93037970,0.00000000,0.00000000,0.04430380
2015,400480,"AGUILA ELEMENTARY DISTRICT (4249)",Arizona,AZ,8789.00,24718.00,-15929.00,NULL,218,0.37799040,0.10550460,0.21100920,0.00000000,0.00000000,0.00000000,0.90243900,0.03048780,0.00000000,0.06707320
2016,400480,"AGUILA ELEMENTARY DISTRICT (4249)",Arizona,AZ,10116.00,25168.00,-15052.00,0.50624497,207,0.37320580,0.12560390,0.18357490,0.00000000,0.00000000,0.00000000,0.93548390,0.02580650,0.00000000,0.03870970
2017,400480,"AGUILA ELEMENTARY DISTRICT (4249)",Arizona,AZ,9172.00,23359.00,-14187.00,-0.86525064,209,0.32701420,0.12440190,0.19617230,0.00000000,0.00000000,0.00000000,0.95424840,0.01960780,0.00000000,0.02614380
2018,400480,"AGUILA ELEMENTARY DISTRICT (4249)",Arizona,AZ,12614.00,26447.00,-13833.00,-0.28471518,158,0.30046950,0.14556960,0.26582280,0.00000000,0.01898730,0.00632910,0.91772150,0.01265820,0.00000000,0.04430380
2019,400480,"AGUILA ELEMENTARY DISTRICT (4249)",Arizona,AZ,13031.00,24681.00,-11650.00,-0.27030333,163,0.24299070,0.14110430,0.28220860,0.00000000,0.03067480,0.00613500,0.90184050,0.01226990,0.00000000,0.04907980
2020,400480,"AGUILA ELEMENTARY DISTRICT (4249)",Arizona,AZ,16683.00,28788.00,-12105.00,NULL,145,0.23148150,0.17241380,0.31724140,0.00000000,0.02758620,0.01379310,0.93103450,0.01379310,0.00000000,0.01379310
2021,400480,"AGUILA ELEMENTARY DISTRICT (4249)",Arizona,AZ,15686.00,31437.00,-15751.00,NULL,137,0.33333330,0.16058390,0.24087590,0.00000000,0.04379560,0.01459850,0.92700730,0.00000000,0.00000000,0.01459850
2009,400520,"AJO UNIFIED DISTRICT (4409)",Arizona,AZ,8779.00,15092.00,-6313.00,-0.72695067,475,0.35669780,0.10315790,0.12421050,0.23109240,0.01470590,0.00000000,0.56092440,NULL,NULL,0.19327730
2010,400520,"AJO UNIFIED DISTRICT (4409)",Arizona,AZ,7878.00,16777.00,-8899.00,-1.04386340,469,0.36426910,0.12153520,0.12793180,0.22814500,0.01918980,0.00000000,0.58848610,NULL,NULL,0.16417910
2011,400520,"AJO UNIFIED DISTRICT (4409)",Arizona,AZ,7558.00,23233.00,-15674.00,-0.79484941,439,0.48018650,0.11389520,0.13439640,0.20273350,0.01366740,0.00227790,0.60364470,0.00000000,0.00000000,0.17767650
2012,400520,"AJO UNIFIED DISTRICT (4409)",Arizona,AZ,7318.00,17075.00,-9757.00,-0.85332427,449,0.34579440,0.11581290,0.12917590,0.20805370,0.03131990,0.00000000,0.58836690,0.00223710,0.00000000,0.17002240
2013,400520,"AJO UNIFIED DISTRICT (4409)",Arizona,AZ,6772.00,14000.00,-7228.00,-0.47553721,429,0.25411760,0.10722610,0.11888110,0.17096020,0.05620610,0.00000000,0.60655740,0.00936770,0.00000000,0.15690870
2014,400520,"AJO UNIFIED DISTRICT (4409)",Arizona,AZ,10014.00,19020.00,-9006.00,-0.38592051,422,0.34905660,0.09952610,0.15876780,0.17142860,0.05476190,0.00238100,0.61666670,0.01190480,0.00000000,0.14285710
2015,400520,"AJO UNIFIED DISTRICT (4409)",Arizona,AZ,8587.00,17431.00,-8844.00,-0.68742924,416,0.32541570,0.11057690,0.11778850,0.14975850,0.04106280,0.00241550,0.67391310,0.01207730,0.00000000,0.12077300
2016,400520,"AJO UNIFIED DISTRICT (4409)",Arizona,AZ,8936.00,14684.00,-5748.00,-0.64748043,419,0.25298330,0.08830550,0.13365160,0.10978520,0.02863960,0.00000000,0.66587110,0.01670640,0.00477330,0.17422430
2017,400520,"AJO UNIFIED DISTRICT (4409)",Arizona,AZ,7653.00,14082.00,-6429.00,-0.94362231,430,0.22248800,0.06744190,0.16744190,0.09767440,0.03720930,0.00232560,0.67906980,0.01627910,0.00465120,0.16279070
2018,400520,"AJO UNIFIED DISTRICT (4409)",Arizona,AZ,8503.00,17182.00,-8679.00,-1.07748950,443,0.27684960,0.08126410,0.20316030,0.08577880,0.02934540,0.00451470,0.70428900,0.02257340,0.00902930,0.14446950
2019,400520,"AJO UNIFIED DISTRICT (4409)",Arizona,AZ,9112.00,14886.00,-5774.00,-0.58771022,454,0.18138430,0.09911890,0.18502200,0.05973450,0.02433630,0.00442480,0.71902660,0.02433630,0.00663720,0.16150440
2020,400520,"AJO UNIFIED DISTRICT (4409)",Arizona,AZ,9327.00,18007.00,-8680.00,NULL,441,0.24465560,0.10430840,0.19047620,0.04090910,0.01590910,0.00681820,0.72045460,0.05000000,0.00000000,0.16590910
2021,400520,"AJO UNIFIED DISTRICT (4409)",Arizona,AZ,10205.00,28179.00,-17974.00,NULL,356,0.36578170,0.12078650,0.23876400,0.05337080,0.02247190,0.00842700,0.74438200,0.03651690,0.00000000,0.13483150
2009,400600,"ALHAMBRA ELEMENTARY DISTRICT (4280)",Arizona,AZ,7186.00,16184.00,-8998.00,-0.46473604,14980,0.33395480,0.09459280,0.38311080,0.02703070,0.03132340,0.07525660,0.78435840,NULL,NULL,0.08203100
2010,400600,"ALHAMBRA ELEMENTARY DISTRICT (4280)",Arizona,AZ,7054.00,17455.00,-10401.00,-0.39455029,14498,0.41123380,0.09587530,0.31466410,0.02641800,0.03564000,0.07349880,0.78782420,NULL,NULL,0.07661910
2011,400600,"ALHAMBRA ELEMENTARY DISTRICT (4280)",Arizona,AZ,7154.00,18541.00,-11387.00,-0.32487907,14037,0.46651440,0.09781290,0.24727510,0.02696500,0.03478200,0.07185890,0.78334770,0.00315550,0.00078890,0.07910210
2012,400600,"ALHAMBRA ELEMENTARY DISTRICT (4280)",Arizona,AZ,6920.00,17688.00,-10768.00,-0.39141064,14238,0.44706120,0.09987360,0.23317880,0.02436560,0.02978820,0.07345820,0.78895240,0.00643480,0.00101220,0.07598870
2013,400600,"ALHAMBRA ELEMENTARY DISTRICT (4280)",Arizona,AZ,5999.00,19074.00,-13075.00,-0.35023065,14313,0.48770870,0.09976940,0.20261300,0.02440570,0.03186100,0.07181040,0.79392320,0.00696300,0.00189900,0.06913770
2014,400600,"ALHAMBRA ELEMENTARY DISTRICT (4280)",Arizona,AZ,6734.00,19988.00,-13254.00,-0.40023512,14193,0.50231160,0.09561050,0.20038050,0.02164660,0.03144070,0.06806250,0.80440030,0.00865860,0.00205820,0.06373310
2015,400600,"ALHAMBRA ELEMENTARY DISTRICT (4280)",Arizona,AZ,6972.00,18709.00,-11737.00,-0.50838574,13940,0.47947330,0.09713060,0.17647060,0.02271740,0.02920810,0.07110920,0.80325980,0.01110630,0.00180300,0.06079620
2016,400600,"ALHAMBRA ELEMENTARY DISTRICT (4280)",Arizona,AZ,7458.00,18257.00,-10799.00,-0.50186956,13520,0.45031620,0.10229290,0.17492600,0.02312440,0.02788310,0.07651130,0.79983640,0.01226860,0.00223060,0.05814560
2017,400600,"ALHAMBRA ELEMENTARY DISTRICT (4280)",Arizona,AZ,8347.00,16031.00,-7684.00,-0.54839973,13102,0.38335040,0.10013740,0.18081210,0.02057580,0.02978890,0.08414590,0.78771590,0.01358930,0.00168910,0.06249520
2018,400600,"ALHAMBRA ELEMENTARY DISTRICT (4280)",Arizona,AZ,7808.00,16453.00,-8645.00,-0.55078617,12862,0.34485160,0.10558230,0.23526670,0.02207880,0.03244060,0.09349590,0.78080670,0.01347040,0.00159410,0.05611350
2019,400600,"ALHAMBRA ELEMENTARY DISTRICT (4280)",Arizona,AZ,8738.00,15212.00,-6474.00,-0.54567478,12551,0.31181850,0.10676440,0.21002310,0.01800020,0.03187190,0.09297330,0.78837420,0.01535790,0.00165140,0.05177110
2020,400600,"ALHAMBRA ELEMENTARY DISTRICT (4280)",Arizona,AZ,8408.00,15627.00,-7219.00,NULL,12307,0.30396800,0.11497520,0.21126190,0.01618480,0.03102080,0.09601280,0.78479310,0.02073670,0.00126440,0.04998740
2021,400600,"ALHAMBRA ELEMENTARY DISTRICT (4280)",Arizona,AZ,10284.00,17095.00,-6811.00,NULL,10665,0.30107670,0.12508200,0.22672290,0.01837790,0.03834970,0.09592120,0.78471640,0.01472100,0.00178150,0.04613220
2009,404770,"ALTAR VALLEY ELEMENTARY DISTRICT (4418)",Arizona,AZ,9118.00,12873.00,-3755.00,-0.67146439,1049,0.32665550,0.18589130,0.07340320,0.05419350,0.00258060,0.01935480,0.48516130,NULL,NULL,0.43870970
2010,404770,"ALTAR VALLEY ELEMENTARY DISTRICT (4418)",Arizona,AZ,8968.00,12996.00,-4028.00,-0.51310815,974,0.35065890,0.17864480,0.04517450,0.04949050,0.00291120,0.02037850,0.50655020,NULL,NULL,0.42066960
2011,404770,"ALTAR VALLEY ELEMENTARY DISTRICT (4418)",Arizona,AZ,9467.00,14217.00,-4750.00,-0.42925471,969,0.37867650,0.16305470,0.05882350,0.06140350,0.00292400,0.00584800,0.51023390,0.01608190,0.00000000,0.40350880
2012,404770,"ALTAR VALLEY ELEMENTARY DISTRICT (4418)",Arizona,AZ,8901.00,12977.00,-4076.00,-0.37351772,964,0.36209440,0.13589210,0.06016600,0.06250000,0.00426140,0.00852270,0.49573860,0.01704550,0.00000000,0.41193180
2013,404770,"ALTAR VALLEY ELEMENTARY DISTRICT (4418)",Arizona,AZ,7790.00,11932.00,-4142.00,-0.33239468,946,0.31157270,0.13002110,0.06236790,0.06704710,0.00427960,0.00713270,0.49500710,0.01569190,0.00142650,0.40941510
2014,404770,"ALTAR VALLEY ELEMENTARY DISTRICT (4418)",Arizona,AZ,9601.00,10344.00,-743.00,-0.36627638,893,0.25724910,0.11982080,0.04815230,0.07800310,0.00312010,0.01092040,0.51326050,0.02652110,0.00000000,0.36817470
2015,404770,"ALTAR VALLEY ELEMENTARY DISTRICT (4418)",Arizona,AZ,8748.00,10281.00,-1533.00,-0.46052870,935,0.23635000,0.13262030,0.04064170,0.07771260,0.00293260,0.00586510,0.52052780,0.01906160,0.00000000,0.37390030
2016,404770,"ALTAR VALLEY ELEMENTARY DISTRICT (4418)",Arizona,AZ,9222.00,11280.00,-2058.00,-0.42520486,893,0.24680210,0.14445690,0.04703250,0.10078740,0.00157480,0.00472440,0.52125980,0.02834650,0.00000000,0.34330710
2017,404770,"ALTAR VALLEY ELEMENTARY DISTRICT (4418)",Arizona,AZ,9799.00,12381.00,-2582.00,-0.47860071,867,0.26812690,0.15570930,0.04844290,0.09983630,0.00163670,0.00654660,0.54173490,0.03109660,0.00000000,0.31914890
2018,404770,"ALTAR VALLEY ELEMENTARY DISTRICT (4418)",Arizona,AZ,13061.00,14149.00,-1088.00,-0.51601657,637,0.25018840,0.19623230,0.08948190,0.09419150,0.00156990,0.00313970,0.56200940,0.02982730,0.00156990,0.30769230
2019,404770,"ALTAR VALLEY ELEMENTARY DISTRICT (4418)",Arizona,AZ,14540.00,12590.00,1950.00,-0.49186031,639,0.18085910,0.20500780,0.07198750,0.09076680,0.00000000,0.01095460,0.56651020,0.02660410,0.00000000,0.30516430
2020,404770,"ALTAR VALLEY ELEMENTARY DISTRICT (4418)",Arizona,AZ,13949.00,12927.00,1022.00,NULL,610,0.21080270,0.18360660,0.07704920,0.09016390,0.00163930,0.00491800,0.56065570,0.03442620,0.00000000,0.30819670
2021,404770,"ALTAR VALLEY ELEMENTARY DISTRICT (4418)",Arizona,AZ,14569.00,21364.00,-6795.00,NULL,550,0.33553870,0.19818180,0.09636360,0.09272730,0.00181820,0.00727270,0.60000000,0.02727270,0.00000000,0.27090910
2009,400680,"AMPHITHEATER UNIFIED DISTRICT (4406)",Arizona,AZ,8203.00,8535.00,-332.00,-0.02511656,15923,0.19842970,0.14073980,0.08120330,0.01853580,0.03570320,0.04503330,0.37146230,NULL,NULL,0.52926540
2010,400680,"AMPHITHEATER UNIFIED DISTRICT (4406)",Arizona,AZ,8300.00,8789.00,-489.00,0.01841826,15020,0.20432940,0.15286280,0.05419440,0.01787300,0.04183040,0.04556980,0.36722020,NULL,NULL,0.52750660
2011,400680,"AMPHITHEATER UNIFIED DISTRICT (4406)",Arizona,AZ,7494.00,10473.00,-2979.00,0.04532671,14684,0.25081750,0.15561150,0.05584310,0.01922950,0.03671080,0.04760300,0.37934510,0.00510990,0.00282390,0.50917770
2012,400680,"AMPHITHEATER UNIFIED DISTRICT (4406)",Arizona,AZ,7608.00,10272.00,-2664.00,0.09472298,14422,0.23665990,0.15469420,0.05470810,0.01906590,0.03559430,0.04409850,0.39023390,0.00898430,0.00274330,0.49927990
2013,400680,"AMPHITHEATER UNIFIED DISTRICT (4406)",Arizona,AZ,7835.00,9634.00,-1799.00,0.11483259,14247,0.19806280,0.15413770,0.04365830,0.01967170,0.03581080,0.04523100,0.39405690,0.01135970,0.00283990,0.49103000
2014,400680,"AMPHITHEATER UNIFIED DISTRICT (4406)",Arizona,AZ,7572.00,10394.00,-2822.00,0.08267760,14191,0.20927180,0.15460500,0.05158200,0.01758290,0.03127390,0.04781430,0.40621310,0.01445550,0.00423930,0.47842100
2015,400680,"AMPHITHEATER UNIFIED DISTRICT (4406)",Arizona,AZ,7810.00,11054.00,-3244.00,0.13641888,13831,0.21410090,0.16253340,0.04974330,0.01848550,0.02933410,0.05167370,0.40689460,0.01784310,0.00378270,0.47198630
2016,400680,"AMPHITHEATER UNIFIED DISTRICT (4406)",Arizona,AZ,7728.00,11602.00,-3874.00,0.13593372,13737,0.22206880,0.16422800,0.05066610,0.01976990,0.02961900,0.04960460,0.41373110,0.02034510,0.00496050,0.46196980
2017,400680,"AMPHITHEATER UNIFIED DISTRICT (4406)",Arizona,AZ,8216.00,10638.00,-2422.00,0.07170936,13812,0.17372790,0.16644950,0.05567620,0.01976940,0.03051360,0.04963830,0.42346540,0.02378050,0.00465580,0.44817710
2018,400680,"AMPHITHEATER UNIFIED DISTRICT (4406)",Arizona,AZ,8240.00,10913.00,-2673.00,0.10779548,13645,0.17733620,0.17618170,0.06075490,0.01846830,0.03107370,0.04902890,0.42565040,0.02770250,0.00498350,0.44309270
2019,400680,"AMPHITHEATER UNIFIED DISTRICT (4406)",Arizona,AZ,8655.00,10634.00,-1979.00,0.13077699,13658,0.14855530,0.17476940,0.05776830,0.01889140,0.02965510,0.04942520,0.42483710,0.02928900,0.00556490,0.44233730
2020,400680,"AMPHITHEATER UNIFIED DISTRICT (4406)",Arizona,AZ,8884.00,11091.00,-2207.00,NULL,13410,0.15237740,0.18053690,0.05928410,0.01834450,0.02818790,0.04981360,0.40723340,0.03452650,0.00522000,0.45667410
2021,400680,"AMPHITHEATER UNIFIED DISTRICT (4406)",Arizona,AZ,10600.00,12836.00,-2236.00,NULL,11424,0.17502090,0.19844190,0.05567230,0.01615420,0.02799450,0.05002290,0.42046810,0.03258380,0.00541530,0.44736120
2009,400720,"ANTELOPE UNION HIGH SCHOOL DISTRICT (4506)",Arizona,AZ,10485.00,14266.00,-3781.00,NULL,336,0.25348840,0.09821430,0.02976190,0.00589970,0.00294990,0.00294990,0.68436580,NULL,NULL,0.30383480
2010,400720,"ANTELOPE UNION HIGH SCHOOL DISTRICT (4506)",Arizona,AZ,9848.00,13060.00,-3212.00,NULL,316,0.19363400,0.12341770,0.00000000,0.00000000,0.00313480,0.00626960,0.67711600,NULL,NULL,0.31347960
2011,400720,"ANTELOPE UNION HIGH SCHOOL DISTRICT (4506)",Arizona,AZ,10663.00,19010.00,-8347.00,NULL,300,0.19466670,0.16666670,0.00333330,0.00000000,0.00000000,0.00333330,0.69666670,0.01666670,0.00333330,0.28000000
2012,400720,"ANTELOPE UNION HIGH SCHOOL DISTRICT (4506)",Arizona,AZ,11195.00,23367.00,-12172.00,NULL,292,0.27792920,0.16780820,0.00000000,0.00677970,0.00000000,0.00338980,0.69491520,0.02033900,0.00338980,0.27118640
2013,400720,"ANTELOPE UNION HIGH SCHOOL DISTRICT (4506)",Arizona,AZ,10943.00,22194.00,-11251.00,NULL,282,0.20277780,0.19503550,0.00000000,0.00000000,0.00000000,0.00354610,0.73049650,0.01773050,0.00709220,0.24113470
2014,400720,"ANTELOPE UNION HIGH SCHOOL DISTRICT (4506)",Arizona,AZ,10390.00,24160.00,-13770.00,NULL,292,0.26271190,0.16095890,0.00684930,0.00682590,0.00341300,0.00341300,0.77133110,0.00341300,0.00682590,0.20477810
2015,400720,"ANTELOPE UNION HIGH SCHOOL DISTRICT (4506)",Arizona,AZ,12145.00,27008.00,-14863.00,NULL,256,0.29310350,0.17187500,0.00000000,0.00416670,0.00416670,0.00416670,0.77500000,0.00416670,0.00416670,0.20416670
2016,400720,"ANTELOPE UNION HIGH SCHOOL DISTRICT (4506)",Arizona,AZ,12238.00,31809.00,-19571.00,NULL,239,0.30835740,0.19246860,0.02394100,0.00836820,0.00418410,0.00418410,0.77405860,0.00000000,0.00836820,0.20083680
2017,400720,"ANTELOPE UNION HIGH SCHOOL DISTRICT (4506)",Arizona,AZ,11732.00,24622.00,-12890.00,NULL,246,0.20512820,0.18292680,0.02394100,0.00404860,0.00404860,0.00000000,0.79757080,0.00000000,0.00404860,0.19028340
2018,400720,"ANTELOPE UNION HIGH SCHOOL DISTRICT (4506)",Arizona,AZ,13505.00,23490.00,-9985.00,NULL,220,0.17647060,0.16818180,0.06363640,0.00454550,0.00000000,0.00000000,0.73636360,0.00000000,0.00000000,0.25909090
2019,400720,"ANTELOPE UNION HIGH SCHOOL DISTRICT (4506)",Arizona,AZ,14135.00,30109.00,-15974.00,NULL,222,0.25905290,0.18468470,0.04954950,0.00000000,0.00450450,0.00000000,0.74324320,0.00000000,0.01351350,0.23873870
2020,400720,"ANTELOPE UNION HIGH SCHOOL DISTRICT (4506)",Arizona,AZ,15190.00,22893.00,-7703.00,NULL,211,0.18232040,0.14218010,0.04739340,0.00473930,0.00473930,0.00947870,0.73933650,0.00473930,0.00000000,0.23696680
2021,400720,"ANTELOPE UNION HIGH SCHOOL DISTRICT (4506)",Arizona,AZ,16000.00,27667.00,-11667.00,NULL,191,0.21078430,0.16230370,0.06282720,0.00000000,0.00523560,0.01047120,0.71204190,0.01047120,0.00000000,0.26178010
2009,400790,"APACHE JUNCTION UNIFIED DISTRICT (4443)",Arizona,AZ,7810.00,7390.00,420.00,-0.33572736,5677,0.16539500,0.14532320,0.04597500,0.01350660,0.01282270,0.02376470,0.22995380,NULL,NULL,0.71995210
2010,400790,"APACHE JUNCTION UNIFIED DISTRICT (4443)",Arizona,AZ,7688.00,8198.00,-510.00,-0.24520885,5407,0.21053350,0.14333270,0.03125580,0.01863240,0.01429090,0.02586830,0.22485530,NULL,NULL,0.71635310
2011,400790,"APACHE JUNCTION UNIFIED DISTRICT (4443)",Arizona,AZ,7343.00,9975.00,-2632.00,-0.18609516,5032,0.27425350,0.14686010,0.02225760,0.01199370,0.01101060,0.01730240,0.25029490,0.01690920,0.00137630,0.69111290
2012,400790,"APACHE JUNCTION UNIFIED DISTRICT (4443)",Arizona,AZ,7227.00,9526.00,-2299.00,-0.22849126,4833,0.24646160,0.14794120,0.02420860,0.00931100,0.00765570,0.01324230,0.26898410,0.02069110,0.00144840,0.67866750
2013,400790,"APACHE JUNCTION UNIFIED DISTRICT (4443)",Arizona,AZ,6220.00,10893.00,-4673.00,-0.24308569,4703,0.28159530,0.15543270,0.02168830,0.00914700,0.00765790,0.01191240,0.28525840,0.02616460,0.00170180,0.65815780
2014,400790,"APACHE JUNCTION UNIFIED DISTRICT (4443)",Arizona,AZ,6596.00,11058.00,-4462.00,-0.26686353,4654,0.26901200,0.15556510,0.02857760,0.00968580,0.00860960,0.01162290,0.28971160,0.02862680,0.00236760,0.64937580
2015,400790,"APACHE JUNCTION UNIFIED DISTRICT (4443)",Arizona,AZ,6452.00,11368.00,-4916.00,-0.19352270,4610,0.26541730,0.16030370,0.03036880,0.01086480,0.00804000,0.00934380,0.30551930,0.02868320,0.00086920,0.63667970
2016,400790,"APACHE JUNCTION UNIFIED DISTRICT (4443)",Arizona,AZ,6930.00,11170.00,-4240.00,-0.17856537,4092,0.22378740,0.17277610,0.03152490,0.01003430,0.00758690,0.01517380,0.31106220,0.02178170,0.00097900,0.63338230
2017,400790,"APACHE JUNCTION UNIFIED DISTRICT (4443)",Arizona,AZ,7294.00,10341.00,-3047.00,-0.30260376,3745,0.17591250,0.18371160,0.03070760,0.01017130,0.00615630,0.01017130,0.31316920,0.02301930,0.00187370,0.63543900
2018,400790,"APACHE JUNCTION UNIFIED DISTRICT (4443)",Arizona,AZ,8599.00,10292.00,-1693.00,-0.37954076,3163,0.17679700,0.23079360,0.04173250,0.01332290,0.00352660,0.01567400,0.32876180,0.03134800,0.00352660,0.60384010
2019,400790,"APACHE JUNCTION UNIFIED DISTRICT (4443)",Arizona,AZ,8215.00,10637.00,-2422.00,-0.40761358,3404,0.16415640,0.18830790,0.04142190,0.01150100,0.00619290,0.01327040,0.33913300,0.03184900,0.00235920,0.59569450
2020,400790,"APACHE JUNCTION UNIFIED DISTRICT (4443)",Arizona,AZ,8839.00,10744.00,-1905.00,NULL,3237,0.15209640,0.19493360,0.04324990,0.00992860,0.00713620,0.00992860,0.36177470,0.03971460,0.00310270,0.56841450
2021,400790,"APACHE JUNCTION UNIFIED DISTRICT (4443)",Arizona,AZ,9127.00,11745.00,-2618.00,NULL,2899,0.16357330,0.19799930,0.04622280,0.01483270,0.00793380,0.01138320,0.38703000,0.03552950,0.00344950,0.53984140
2009,400840,"ARLINGTON ELEMENTARY DISTRICT (4274)",Arizona,AZ,10373.00,28525.00,-18152.00,-0.36969475,271,0.46685880,0.08487080,0.31365310,0.01476010,0.00000000,0.01476010,0.57564570,NULL,NULL,0.39483400
2010,400840,"ARLINGTON ELEMENTARY DISTRICT (4274)",Arizona,AZ,9258.00,22555.00,-13297.00,-0.45660040,271,0.52569170,0.08118080,0.10701110,0.00738010,0.00000000,0.02583030,0.57933580,NULL,NULL,0.38745390
2011,400840,"ARLINGTON ELEMENTARY DISTRICT (4274)",Arizona,AZ,8757.00,24295.00,-15538.00,-0.32136423,263,0.52734380,0.11406840,0.07604560,0.00760460,0.00000000,0.00000000,0.63498100,0.02661600,0.00000000,0.33079850
2012,400840,"ARLINGTON ELEMENTARY DISTRICT (4274)",Arizona,AZ,9105.00,20260.00,-11155.00,-0.27814805,275,0.38223940,0.11636360,0.13818180,0.01818180,0.00000000,0.00363640,0.64727270,0.03272730,0.00000000,0.29818180
2013,400840,"ARLINGTON ELEMENTARY DISTRICT (4274)",Arizona,AZ,8775.00,16264.00,-7489.00,-0.29599939,258,0.35114500,0.07751940,0.09302330,0.01550390,0.00000000,0.00775190,0.65116280,0.03488370,0.00387600,0.28682170
2014,400840,"ARLINGTON ELEMENTARY DISTRICT (4274)",Arizona,AZ,10399.00,15787.00,-5388.00,-0.09957287,253,0.31439390,0.07114620,0.11462450,0.01185770,0.00395260,0.00395260,0.70750990,0.02371540,0.00395260,0.24505930
